Year HCFC141B.box.1 HCFC141B.box.2 HCFC141B.box.3 HCFC141B.box.4 HCFC141B.sd.1 HCFC141B.sd.2 HCFC141B.sd.3 HCFC141B.sd.4 HFC134A.box.1 HFC134A.box.2 HFC134A.box.3 HFC134A.box.4 HFC134A.sd.1 HFC134A.sd.2 HFC134A.sd.3 HFC134A.sd.4 N2O.box.1 N2O.box.2 N2O.box.3 N2O.box.4 N2O.sd.1 N2O.sd.2 N2O.sd.3 N2O.sd.4 SF6.box.1 SF6.box.2 SF6.box.3 SF6.box.4 SF6.sd.1 SF6.sd.2 SF6.sd.3 SF6.sd.4 CFC11.box.1 CFC11.box.2 CFC11.box.3 CFC11.box.4 CFC11.sd.1 CFC11.sd.2 CFC11.sd.3 CFC11.sd.4 CFC12.box.1 CFC12.box.2 CFC12.box.3 CFC12.box.4 CFC12.sd.1 CFC12.sd.2 CFC12.sd.3 CFC12.sd.4 HCFC22.box.1 HCFC22.box.2 HCFC22.box.3 HCFC22.box.4 HCFC22.sd.1 HCFC22.sd.2 HCFC22.sd.3 HCFC22.sd.4
1981.542 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.697 302.501 301.601 302.906 0.335562 0.348777 0.61048 0.306724 NA NA NA NA NA NA NA NA 182.039 179.253 170.338 168.679 0.250014 0.650423 3.48846 0.20318 330.55 334.928 311.566 307.595 1.20384 4.87817 6.5021 0.555814 NA NA NA NA NA NA NA NA
1981.625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.647 302.482 301.805 302.76 0.267103 0.530236 0.59756 0.0273511 NA NA NA NA NA NA NA NA 182.841 180.076 171.301 169.679 0.936252 1.05105 1.76361 0.20318 332.125 337.303 313.296 309.938 1.00813 8.82312 4.65128 0.555814 NA NA NA NA NA NA NA NA
1981.708 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.547 302.538 301.898 302.726 0.381265 0.558515 0.461897 0.189504 NA NA NA NA NA NA NA NA 183.643 180.738 172.267 170.683 0.264627 1.94655 2.97488 0.20318 333.483 338.9 315.017 312.138 1.28737 3.27097 3.17837 0.555814 NA NA NA NA NA NA NA NA
1981.792 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.399 302.587 302.057 302.789 0.163579 0.525523 0.539419 0.0658965 NA NA NA NA NA NA NA NA 184.435 181.256 173.231 171.616 0.327013 1.04633 2.96519 0.20318 334.672 339.667 316.711 314.3 1.62715 5.05256 7.63584 0.555814 NA NA NA NA NA NA NA NA
1981.875 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.316 302.626 302.074 302.904 0.282592 0.38177 0.274554 0.170945 NA NA NA NA NA NA NA NA 185.21 181.698 174.156 172.476 0.316339 0.994487 1.7733 0.14457 335.834 339.773 318.34 316.476 1.24126 3.77999 5.86255 0.555814 NA NA NA NA NA NA NA NA
1981.958 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.359 302.605 301.742 302.991 0.246941 0.49253 0.914105 0.12015 NA NA NA NA NA NA NA NA 185.953 182.08 174.998 173.285 0.483078 1.18066 2.83922 0.267651 337.095 339.425 319.896 318.687 1.08047 3.27097 6.91877 0.555814 NA NA NA NA NA NA NA NA
1982.042 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.49 302.621 301.29 303.01 0.187365 0.282792 0.497428 0.112335 NA NA NA NA NA NA NA NA 186.609 182.41 175.742 174.048 0.406828 1.45638 1.44383 0.20318 338.429 338.924 321.368 320.883 1.90537 3.3888 6.16294 0.555814 NA NA NA NA NA NA NA NA
1982.125 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.679 302.823 301.226 302.962 0.257594 0.534949 0.662161 0.0656554 NA NA NA NA NA NA NA NA 187.157 182.727 176.407 174.763 0.697061 1.88057 4.24429 0.20318 339.745 338.528 322.774 323.012 1.88137 6.37226 4.68035 0.555814 NA NA NA NA NA NA NA NA
1982.208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 302.918 303.065 301.81 302.835 0.298367 0.275723 0.707381 0.0656607 NA NA NA NA NA NA NA NA 187.647 183.104 177.018 175.439 0.855313 0.659849 3.22682 0.20318 341.072 338.397 324.127 325.123 1.33194 3.78471 5.07764 0.555814 NA NA NA NA NA NA NA NA
1982.292 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 303.221 303.171 302.7 302.74 0.208669 0.280436 0.562029 0.0656801 NA NA NA NA NA NA NA NA 188.157 183.584 177.6 176.091 0.449532 1.07932 1.23065 0.20318 342.494 338.577 325.365 327.298 1.61716 3.20969 4.24429 0.555814 NA NA NA NA NA NA NA NA
